epoch,acc,loss,val_acc,val_loss
0,0.7453650057937428,0.6284083137234732,0.815,0.5104345065355301
1,0.8735515643105446,0.3449503519774122,0.9,0.2912085437774658
2,0.9051899101188751,0.2662654721466233,0.8358974362031008,0.37918238303600216
3,0.9129490150637312,0.24591549631501716,0.95,0.18987486496567726
4,0.9304146129312845,0.20106148588770575,0.9230769230769231,0.24366197123741493
5,0.9338064889918888,0.1820329971518961,0.97,0.12383275916799903
6,0.940127573209626,0.16518168026001795,0.9589743592800238,0.16143733612619915
7,0.9423522595596755,0.15711795995034183,0.955,0.1599681095033884
8,0.9467961728037112,0.14051541400936704,0.9538461538461539,0.1874651074409485
